Nombre;Codigo;Clase
Delta14-sterol reductase [EC:1.3.1.70];EC:1.3.1.70;Oxidoreductases
lanosterol synthase [EC:5.4.99.7];EC:5.4.99.7;Isomerases
C-8 sterol isomerase [EC:5.-.-.-];EC:5.-.-.-;No informacion
sterol 24-C-methyltransferase [EC:2.1.1.41];EC:2.1.1.41;Transferases
Delta7-sterol 5-desaturase [EC:1.14.19.20];EC:1.14.19.20;Oxidoreductases
farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21];EC:2.5.1.21;Transferases
squalene monooxygenase [EC:1.14.14.17];EC:1.14.14.17;Oxidoreductases
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201];EC:2.1.1.201;Transferases
3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60];EC:1.14.99.60;Oxidoreductases
2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64];EC:2.1.1.222 2.1.1.64;Transferases
F-type H+-transporting ATPase subunit alpha;a;No informacion
inorganic pyrophosphatase [EC:3.6.1.1];EC:3.6.1.1;Hydrolases
H+-transporting ATPase [EC:7.1.2.1];EC:7.1.2.1;Translocases
glutamine synthetase [EC:6.3.1.2];EC:6.3.1.2;Ligases
glutamate dehydrogenase [EC:1.4.1.2];EC:1.4.1.2;Oxidoreductases
glutamate dehydrogenase (NADP+) [EC:1.4.1.4];EC:1.4.1.4;Oxidoreductases
aspartate aminotransferase, mitochondrial [EC:2.6.1.1];EC:2.6.1.1;Transferases
alanine transaminase [EC:2.6.1.2];EC:2.6.1.2;Transferases
acetylornithine deacetylase [EC:3.5.1.16];EC:3.5.1.16;Hydrolases
arginase [EC:3.5.3.1];EC:3.5.3.1;Hydrolases
argininosuccinate synthase [EC:6.3.4.5];EC:6.3.4.5;Ligases
adenylosuccinate lyase [EC:4.3.2.2];EC:4.3.2.2;Lyases
adenine phosphoribosyltransferase [EC:2.4.2.7];EC:2.4.2.7;Transferases
nucleoside-diphosphate kinase [EC:2.7.4.6];EC:2.7.4.6;Transferases
inosine triphosphate pyrophosphatase [EC:3.6.1.-];EC:3.6.1.-;No informacion
AMP deaminase [EC:3.5.4.6];EC:3.5.4.6;Hydrolases
adenylosuccinate synthase [EC:6.3.4.4];EC:6.3.4.4;Ligases
ectonucleoside triphosphate diphosphohydrolase 5/6 [EC:3.6.1.6];EC:3.6.1.6;Hydrolases
IMP dehydrogenase [EC:1.1.1.205];EC:1.1.1.205;Oxidoreductases
hypoxanthine phosphoribosyltransferase [EC:2.4.2.8];EC:2.4.2.8;Transferases
adenosine deaminase [EC:3.5.4.4];EC:3.5.4.4;Hydrolases
purine nucleosidase [EC:3.2.2.1];EC:3.2.2.1;Hydrolases
adenylate kinase [EC:2.7.4.3];EC:2.7.4.3;Transferases
adenosine kinase [EC:2.7.1.20];EC:2.7.1.20;Transferases
ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1];EC:1.17.4.1;Oxidoreductases
adenylate cyclase [EC:4.6.1.1];EC:4.6.1.1;Lyases
3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17];EC:3.1.4.17;Hydrolases
GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2];EC:6.3.5.2;Ligases
guanine deaminase [EC:3.5.4.3];EC:3.5.4.3;Hydrolases
guanylate kinase [EC:2.7.4.8];EC:2.7.4.8;Transferases
cAMP-specific phosphodiesterase [EC:3.1.4.53];EC:3.1.4.53;Hydrolases
carbamoyl-phosphate synthase [EC:6.3.5.5];EC:6.3.5.5;Ligases
aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2];EC:2.1.3.2;Transferases
dihydroorotase [EC:3.5.2.3];EC:3.5.2.3;Hydrolases
dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1];EC:1.3.98.1;Oxidoreductases
uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23];EC:2.4.2.10 4.1.1.23;Transferases
uridine kinase [EC:2.7.1.48];EC:2.7.1.48;Transferases
uracil phosphoribosyltransferase [EC:2.4.2.9];EC:2.4.2.9;Transferases
UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14];EC:2.7.4.14;Transferases
CTP synthase [EC:6.3.4.2];EC:6.3.4.2;Ligases
cytidine deaminase [EC:3.5.4.5];EC:3.5.4.5;Hydrolases
thymidine kinase [EC:2.7.1.21];EC:2.7.1.21;Transferases
